*;base;gen
cn_Sosso.m;Соссо;
cn_Souad.f;Соуад;
cn_Souleyman.m;Соулеиман;
cn_Soumaoro.m;Соумаоро;
cn_Sphrantzes.m;Сфрантзес;
cn_Sproudeika.m;Спроудеика;
cn_Spytek.m;Спитек;
cn_Sratsimir.m;Сратсимир;
cn_Stana.f;Стана;
cn_Stanisha.m;Станиша;
cn_Stanislau.m;Станислау;
cn_Stanislaus.m;Станислаус;
cn_Stanislovas.m;Станисловас;
cn_Stefan.m;Стефан;
cn_Stefan_Nemanjic.m;Стефан неманджик;
cn_Stefan_Urosh.m;Стефан урош;
cn_Stefano.m;Стефано;
cn_Steffan.m;Стеффан;
cn_Steksys.m;Стексис;
cn_Sten.m;Стен;
cn_Stenar.m;Стенар;
cn_Stenkil.m;Стенкил;
cn_Stepanie.f;Степание;
cn_Stepanos.m;Степанос;
cn_Stephan.m;Стефан;
cn_Stephanie.f;Стефание;
cn_Stephano.m;Стефано;
cn_Stephanos.m;Стефанос;
cn_Stephanus.m;Стефанус;
cn_Stephen.m;Стефан;
cn_Steva.f;Стева;
cn_Stig.m;Стиг;
cn_Strahota.m;Страхота;
cn_Strez.m;Стрез;
cn_Sturla.m;Стурла;
cn_Subutai.m;Субутаи;
cn_Suchigu.f;Сучигу;
cn_Sudimantas.m;Судимантас;
cn_Sudislav.m;Судислав;
cn_Sueteluue.f;Суетелууе;
cn_Sufyan.m;Суфиан;
cn_Suhrab.m;Сухраб;
cn_Sukayna.f;Сукаина;
cn_Sukman.m;Сукман;
cn_Sula.m;Сула;
cn_Sulaym.m;Сулаим;
cn_Sulayman.m;Сулаиман;
cn_Suleyman.m;Сюлеиман;
cn_Sulien.m;Сулиен;
cn_Sulwan.f;Сулуан;
cn_Sumarlidi.m;Сумарлиди;
cn_Sumayya.f;Сумаия;
cn_Sumbat.m;Сумбат;
cn_Sumnah.f;Сумнах;
cn_Sundiata.m;Сундиата;
cn_Sune.m;Суне;
cn_Sungur.m;Сунгур;
cn_Sunniva.f;Суннива;
cn_Suonetar.f;Суонетар;
cn_Surgan.m;Сурган;
cn_Suri.m;Сури;
cn_Surkhan.m;Суркхан;
cn_Susanna.f;Сузана;
cn_Suzanne.f;Сузанне;
cn_Svalkenis.m;Свалкенис;
cn_Svarnas.m;Сварнас;
cn_Svaromir.m;Сваромир;
cn_Svatava.f;Сватава;
cn_Sven.m;Свен;
cn_Sverker.m;Сверкер;
cn_Sverre.m;Сверре;
cn_Sviatopolk.m;Свиатополк;
cn_Sviatoslav.m;Суиатослау;
cn_Svitrigaila.m;Свитригаила;
cn_Swalegote.f;Суалеготе;
cn_Swannoc.f;Суаннок;
cn_Swantibor.m;Суантибор;
cn_Swantopolk.m;Суантополк;
cn_Swietopelk.m;Суиетопелк;
cn_Swydeger.m;Суидегер;
cn_Sybil.f;Сибил;
cn_Sybilla.f;Сибилла;
cn_Sydonia.f;Сидониа;
cn_Sygtrygg.m;Сигтригг;
cn_Sylvain.m;Силваин;
cn_Sylvester.m;Силвестър;
cn_Sylvia.f;Силвия;
cn_Sym.m;Сим;
cn_Symeon.m;Симеон;
cn_Symon.m;Симон;
cn_Synadene.f;Синадене;
cn_Sypyn.m;Сипин;
cn_Syrgiannes.m;Сиргианнес;
cn_Ta_damiyit.m;Тадамииит;
cn_Tabon.m;Табон;
cn_Tachatuhi.f;Тачатухи;
cn_Taddea.f;Таддеа;
cn_Taddeo.m;Таддео;
cn_Tadg.m;Тадг;
cn_Tadhg.m;Тадхг;
cn_Tadj.m;Тадй;
cn_Taghachar.m;Тагхачар;
cn_Tahar.m;Тахар;
cn_Tahir.m;Тахир;
cn_Tahtazz.f;Тахтазз;
cn_Taiju.m;Таию;
cn_Tailltiu.f;Таиллтиу;
cn_Tairdelbach.m;Таирделбач;
cn_Taj.m;Тай;
cn_Tajeddin.m;Тайеддин;
cn_Taki.m;Таки;
cn_Takkor.m;Таккор;
cn_Talabuga.m;Талабуга;
cn_Talbod.m;Талбод;
cn_Talesa.f;Талеса;
cn_Talhah.m;Талхах;
cn_Talib.m;Талиб;
cn_Tamar.f;Тамар;
cn_Tamara.f;Тамара;
cn_Tamari.f;Тамари;
cn_Tamas.m;Тамас;
cn_Tamim.m;Тамим;
cn_Tammam.m;Таммам;
cn_Tamta.f;Тамта;
cn_Tanaiste.f;Танаисте;
cn_Tancred.m;Танкред;
cn_Tandu.f;Танду;
cn_Tanggiz.m;Танггиз;
cn_Tangwhystl.f;Тангухистл;
cn_Tanush.m;Тануш;
cn_Taos.f;Таос;
cn_Tapio.m;Тапио;
cn_Taqiaddin.m;Такиаддин;
cn_Taqu.m;Такв;
cn_Taraqai.m;Таракаи;
cn_Tarif.m;Тариф;
cn_Tarikh.m;Тарикх;
cn_Tariq.m;Тарик;
cn_Tarja.f;Таря;
cn_Tartu.m;Тарту;
cn_Tashfin.m;Ташфин;
cn_Tashugin.m;Ташугин;
cn_Tasu.m;Тасу;
cn_Tati.m;Тати;
cn_Taulas.m;Таулас;
cn_Tautvilas.m;Таутвилас;
cn_Tawbah.m;Таубах;
cn_Tayghur.m;Таигхур;
cn_Tayyib.m;Таиииб;
cn_Taz.m;Таз;
cn_Tbeli.m;Тбели;
cn_Tecin.m;Текин;
cn_Tegin.m;Тегин;
cn_Tegridia.f;Тегридиа;
cn_Tegwared.m;Тегуаред;
cn_Teige.m;Теиге;
cn_Tekish.m;Текисч;
cn_Tellervo.f;Теллерво;
cn_Temim.m;Темим;
cn_Temuge.m;Темуге;
cn_Temujin.m;Темюдсчин;
cn_Temulin.f;Темулин;
cn_Temur.m;Темур;
cn_Teobaldo.m;Теобалдо;
cn_Teodor.m;Теодор;
cn_Teodor_Petar.m;Теодор-Петар;
cn_Teodora.f;Теодора;
cn_Teodoras.m;Теодорас;
cn_Teodosia.f;Теодосиа;
cn_Teodosije.m;Теодосийе;
cn_Teodosiy.m;Теодосии;
cn_Teresa.f;Тереза;
cn_Terhenetar.f;Терхенетар;
cn_Terjughan.f;Терюгхан;
cn_Terken.f;Теркен;
cn_Terter.m;Тертер;
cn_Terval.m;Тервал;
cn_Thabid.m;Табид;
cn_Thaddey.m;Таддеи;
cn_Thadeus.m;Тадеус;
cn_Thamar.f;Тамар;
cn_Thana.f;Тана;
cn_Thaqabah.f;Такабах;
cn_Theobald.m;Теобалд;
cn_Theodora.f;Теодора;
cn_Theodore.m;Теодор;
cn_Theodoric.m;Теодорих;
cn_Theodoros.m;Теодорос;
cn_Theodorus.m;Теодорус;
cn_Theodosia.f;Теодосия;
cn_Theodosius.m;Теодосиус;
cn_Theodotos.m;Теодотос;
cn_Theodotus.m;Теодотус;
cn_Theodoulos.m;Теодоулос;
cn_Theoedos.m;Теоедос;
cn_Theoleptos.m;Теолептос;
cn_Theophanu.f;Теофану;
cn_Theophilos.m;Теофилос;
cn_Theophylactos.m;Теофилактос;
cn_Theresa.f;Тереса;
cn_Theresia.f;Тересиа;
cn_Thibaud.m;Тибауд;
cn_Thierry.m;Тиерри;
cn_Thimo.m;Тимо;
cn_Thiry.m;Тири;
cn_Thom.m;Том;
cn_Thomas.m;Тома;
cn_Thome.m;Томе;
cn_Thopia.m;Топиа;
cn_Thorbjorn.m;Торбйорн;
cn_Thorbrand.m;Торбранд;
cn_Thordis.f;Тордис;
cn_Thorfinn.m;Торфинн;
cn_Thorgrim.m;Торгрим;
cn_Thorkil.m;Торкил;
cn_Thorlak.m;Торлак;
cn_Thorolf.m;Торолф;
cn_Thunna.f;Тунна;
cn_Thurayya.f;Тураия;
cn_Thurstan.m;Турстан;
cn_Tiba.m;Тиба;
cn_Tibout.m;Тибоут;
cn_Tiburge.f;Тибурге;
cn_Tighearnan.m;Тигхеарнан;
cn_Tigranes.m;Тигранес;
cn_Tihomir.m;Тихомир;
cn_Tijs.m;Тийс;
cn_Timm.m;Тимм;
cn_Timofei.m;Тимофеи;
cn_Timotheus.m;Тимотеус;
cn_Timur.m;Тимур;
cn_Timurtash.m;Тимуртасч;
cn_Tin.f;Тин;
cn_Tindu.f;Тинду;
cn_Tinhos.m;Тинхос;
cn_Tino.m;Тино;
cn_Tiramakhan.m;Тирамакхан;
cn_Tivadar.m;Тивадар;
cn_Tkfat.f;Ткфат;
cn_Toda.f;Тода;
cn_Todai.f;Тодаи;
cn_Todmonkh.m;Тодмонкх;
cn_Todogaj.f;Тодогай;
cn_Todor.m;Тодор;
cn_Todora.f;Тодора;
cn_Todukaj.f;Тодукай;
cn_Toga_Timur.m;Тога-Тимур;
cn_Togha.m;Тогха;
cn_Toghtekin.m;Тогхтекин;
cn_Toghu.m;Тогху;
cn_Toke.m;Токе;
cn_Tokhta.m;Токхта;
cn_Tolui.m;Толуи;
cn_Toma.m;Тома;
cn_Tommaso.m;Томмасо;
cn_Tomos.m;Томос;
cn_Tooril.m;Тоорил;
cn_Toqoqan.m;Тококан;
cn_Tora.f;Тора;
cn_Toralchi.m;Торалчи;
cn_Toralde.m;Торалде;
cn_Torbeno.m;Торбено;
cn_Torberg.m;Торберг;
cn_Torchitorio.m;Торчиторио;
cn_Tore.m;Торе;
cn_Toregene.f;Торегене;
cn_Torkel.m;Торкел;
cn_Torkild.m;Торкилд;
cn_Tormod.m;Тормод;
cn_Torolchi.m;Торолчи;
cn_Toros.m;Торос;
cn_Torquil.m;Торквил;
cn_Tosol.m;Тосол;
cn_Totorme.f;Тоторме;
cn_Trahaearn.m;Трахаеарн;
cn_Traidenis.m;Траиденис;
cn_Tralin.m;Тралин;
cn_Treniota.m;Трениота;
cn_Tringe.f;Тринге;
cn_Tristan.m;Тристан;
cn_Trisztan.m;Трисзтан;
cn_Troian.m;Троиан;
cn_Trojden.m;Тройден;
cn_Truchtlip.m;Тручтлип;
cn_Trudde.f;Трудде;
cn_Trugot.m;Тругот;
cn_Truida.f;Труида;
cn_Trutwin.m;Трутуин;
cn_Tsagadai.m;Тсагадаи;
cn_Tsotne.m;Тсотне;
cn_Tsrho.m;Тсрхо;
cn_Tsuata.m;Тсуата;
cn_Tuccio.m;Туккио;
cn_Tuda.m;Туда;
cn_Tudor.m;Тудор;
cn_Tudur.m;Тудур;
cn_Tudwal.m;Тудуал;
cn_Tugh.m;Тугх;
cn_Tuglugh.f;Туглугх;
cn_Tugtekin.m;Тугтекин;
cn_Tuina.f;Туина;
cn_Tulal.f;Тулал;
cn_Tulubiyya.f;Тулубиия;
cn_Tumart.m;Тумарт;
cn_Tumelun.f;Тумелун;
cn_Tunka.m;Тунка;
cn_Tuoni.m;Туони;
cn_Tuqtani.f;Туктани;
cn_Turan.m;Туран;
cn_Turve.f;Турве;
cn_Tusakha.m;Тусакха;
cn_Tutar.m;Тутар;
cn_Tutush.m;Тутусч;
cn_Tvrtko.m;Твртко;
cn_Tzachas.m;Тзачас;
cn_Ua.m;Уа;
cn_Ubayd.m;Убаид;
cn_Uberto.m;Уберто;
cn_Udard.m;Удард;
cn_Udelrich.m;Уделрич;
cn_Udo.m;Удо;
cn_Uffe.m;Уффе;
cn_Uglesh.m;Углеш;
cn_Ugo.m;Уго;
cn_Ugos.m;Угос;
cn_Ugrin.m;Угрин;
cn_Ugs.m;Угс;
cn_Uilliam.m;Уиллиам;
cn_Uirat.m;Уират;
cn_Ujan.m;Уян;
cn_Ukaa.f;Укаа;
cn_Ukko.m;Укко;
cn_Uksahkka.f;Уксахкка;
cn_Ula.f;Ула;
cn_Ulaghchi.m;Улагхчи;
cn_Ulaym.m;Улаим;
cn_Ulayyah.f;Улаиях;
cn_Ulf.m;Улф;
cn_Ulfhild.f;Улфхилд;
cn_Uli.m;Ули;
cn_Uliana.f;Улиана;
cn_Uljai.f;Уляи;
cn_Ulkoszlo.m;Улкосзло;
cn_Ulrich.m;Улрих;
cn_Ulricus.m;Улрикус;
cn_Ulumpia.f;Улумпиа;
cn_Umar.m;Умар;
cn_Umaya.f;Умаиа;
cn_Umayna.f;Умаина;
cn_Umayyah.m;Умаиях;
cn_Umberto.m;Умберто;
cn_Umm.f;Умм;
cn_Umur.m;Умур;
cn_Una.f;Уна;
cn_Unas.m;Унас;
cn_Unto.m;Унто;
cn_Uran.m;Уран;
cn_Urban.m;Урбан;
cn_Urendash.m;Урендаш;
cn_Urian.m;Уриан;
cn_Urosh.m;Урош;
cn_Urraca.f;Уррака;
cn_Urse.m;Урсе;
cn_Ursula.f;Урсула;
cn_Uruk.f;Урук;
cn_Urus.m;Урус;
cn_Usamah.m;Усамах;
cn_Uta.f;Ута;
cn_Uthman.m;Утман;
cn_Uvais.m;Уваис;
cn_Uways.m;Ууаис;
cn_Uyku.m;Уику;
cn_Vaasco.m;Вааско;
cn_Vache.m;Ваче;
cn_Vachut.m;Вачут;
cn_Vaclav.m;Ваклав;
cn_Vagrash.m;Ваграш;
cn_Vahan.m;Вахан;
cn_Vahram.m;Вахрам;
cn_Vaidila.m;Ваидила;
cn_Vaidotas.m;Ваидотас;
cn_Vaidutis.m;Ваидутис;
cn_Vainamoinen.m;Ваинамоинен;
cn_Vainius.m;Ваиниус;
cn_Vaisvilas.m;Ваисвилас;
cn_Vaisvilkas.m;Ваисвилкас;
cn_Vakhtang.m;Вакхтанг;
cn_Val.m;Вал;
cn_Valdemar.m;Валдемар;
cn_Valentijn.m;Валентийн;
cn_Valentina.f;Валентина;
cn_Valeria.f;Валериа;
cn_Valimantas.m;Валимантас;
cn_Valon.m;Валон;
cn_Vameq.m;Вамек;
cn_Vanakan.m;Ванакан;
cn_Vanessa.f;Ванеса;
cn_Vanne.m;Ванне;
cn_Varadin.m;Варадин;
cn_Vardan.m;Вардан;
cn_Vasak.m;Васак;
cn_Vasil.m;Васил;
cn_Vasilisa.f;Василиса;
cn_Vasiliy.m;Василии;
cn_Vasilko.m;Василко;
cn_Vaszoly.m;Васзоли;
cn_Vazgen.m;Вазген;
cn_Vedillo.m;Ведилло;
cn_Vela.m;Вела;
cn_Velasco.m;Веласко;
cn_Veled.m;Велед;
cn_Vellamo.f;Велламо;
cn_Vellito.m;Веллито;
cn_Velzys.m;Велзис;
cn_Vembutas.m;Вембутас;
cn_Vencel.m;Венкел;
cn_Vermundo.m;Вермундо;
cn_Veronica.f;Вероника;
cn_Vesse.m;Вессе;
cn_Veton.m;Ветон;
cn_Vezias.m;Везиас;
cn_Viacheslav.m;Виачеслав;
cn_Viago.m;Виаго;
cn_Victor.m;Виктор;
cn_Victoria.f;Виктория;
cn_Vida.f;Вида;
cn_Vidal.m;Видал;
cn_Vidi.m;Види;
cn_Vidmund.m;Видмунд;
cn_Vieri.m;Виери;
cn_Vierna.f;Виерна;
cn_Viestards.m;Виестардс;
cn_Vigdis.f;Вигдис;
cn_Vilikaila.m;Виликаила;
cn_Viljo.m;Вилйо;
cn_Vimaro.m;Вимаро;
cn_Vince.m;Винке;
cn_Vincent.m;Винсент;
cn_Vincenzo.m;Винкензо;
cn_Vinczencz.m;Винкзенкз;
cn_Violant.f;Виолант;
cn_Violante.f;Виоланте;
cn_Virginia.f;Вирджиния;
cn_Virva.f;Вирва;
cn_Vishimout.m;Вишимоут;
cn_Vishlii.m;Вишлии;
cn_Vismantas.m;Висмантас;
cn_Vistruario.m;Виструарио;
cn_Vitale.m;Витале;
cn_Vitapoy.f;Витапои;
cn_Vitovt.m;Витовт;
cn_Vittorio.m;Витторио;
cn_Vivianne.f;Вивианне;
cn_Vjollca.f;Вйоллка;
cn_Vlad.m;Влад;
cn_Vladan.m;Владан;
cn_Vladhyslao.m;Владхислао;
cn_Vladimir.m;Владимир;
cn_Vladimiras.m;Владимирас;
cn_Vladino.m;Владино;
cn_Vladislav.m;Владислав;
cn_Vlado.m;Владо;
cn_Vlaicu.m;Влаику;
cn_Vlajka.f;Влайка;
cn_Vlora.f;Влора;
cn_Voisava.f;Воисава;
cn_Voislava.f;Воислава;
cn_Vojin.m;Воджин;
cn_Volkmar.m;Волкмар;
cn_Volkwin.m;Волкуин;
cn_Volodar.m;Володар;
cn_Volodimer.m;Володимер;
cn_Volodymyr.m;Володимир;
cn_Vonibout.m;Вонибоут;
cn_Voysil.m;Воисил;
cn_Vratislaw.m;Вратислау;
cn_Vrtanes.m;Вртанес;
cn_Vseslav.m;Всеслав;
cn_Vsevolod.m;Всеволод;
cn_Vuk.m;Вук;
cn_Vukan.m;Вукан;
cn_Vukasin.m;Вукасин;
cn_Vulo.m;Вуло;
cn_Vygantas.m;Вигантас;
cn_Vykintas.m;Викинтас;
cn_Vyshata.m;Вишата;
cn_Vytautas.m;Витаутас;
cn_Vytenis.m;Витенис;
cn_Vyzeikis.m;Визеикис;
cn_Vyzheik.m;Визхеик;
cn_Wadih.m;Уадих;
cn_Wafa.m;Уафа;
cn_Wahid.m;Уахид;
cn_Wahshiyah.f;Уахшиях;
cn_Wais.m;Уаис;
cn_Walad.m;Уалад;
cn_Walcher.m;Уалчер;
cn_Waldburga.f;Уалдбурга;
cn_Waldemar.m;Уалдемар;
cn_Walerand.m;Уалеранд;
cn_Walerian.m;Уалериан;
cn_Wali.m;Уали;
cn_Walid.m;Уалид;
cn_Walkelin.m;Уалкелин;
cn_Walram.m;Уалрам;
cn_Walter.m;Валтер;
cn_Walteri.m;Уалтери;
cn_Waltheof.m;Уалтеоф;
cn_Walther.m;Уалтер;
cn_Wang.m;Уанг;
cn_Wanudin.m;Уанудин;
cn_Warcislaw.m;Уаркислау;
cn_Warin.m;Уарин;
cn_Warmund.m;Уармунд;
cn_Warner.m;Уарнер;
cn_Warreis.m;Уарреис;
cn_Wartislaw.m;Уартислау;
cn_Wasil.m;Уасил;
cn_Wasim.m;Уасим;
cn_Wazir.m;Уазир;
cn_Welf.m;Уелф;
cn_Wenceslaus.m;Уенкеслаус;
cn_Wencislawa_Wiola.f;Уенкислауа-Уиола;
cn_Wenczel.m;Уенкзел;
cn_Wenzclo.m;Уензкло;
cn_Werba.m;Уерба;
cn_Wernher.m;Уернхер;
cn_Wiebke.f;Уиебке;
cn_Wiel.m;Уиел;
cn_Wigand.m;Уиганд;
cn_Wigunt.m;Уигунт;
cn_Wikman.m;Уикман;
cn_Wiland.m;Уиланд;
cn_Wilcze.m;Уилкзе;
cn_Wilheida.f;Уилхеида;
cn_Wilhelm.m;Вилхелм;
cn_Wilhelmus.m;Уилхелмус;
cn_Wilibrord.m;Уилиброрд;
cn_Willelma.f;Уиллелма;
cn_Willheida.f;Уиллхеида;
cn_Willhem.m;Уиллхем;
cn_William.m;Уилям;
cn_Williamina.f;Уиллиамина;
cn_Wilrich.m;Уилрич;
cn_Winand.m;Уинанд;
cn_Winrich.m;Уинрич;
cn_Wiola.f;Уиола;
cn_Wiprecht.m;Уипречт;
cn_Wischard.m;Уисчард;
cn_Wishard.m;Уишард;
cn_Withaws.m;Уитаус;
cn_Witold.m;Уитолд;
cn_Wladyslaw.m;Уладислау;
cn_Wlodzimierz.m;Улодзимиерз;
cn_Woizlava.f;Уоизлава;
cn_Wojszwil.m;Уойсзуил;
cn_Wolfel.m;Уолфел;
cn_Wolfer.m;Уолфер;
cn_Wolferam.m;Уолферам;
cn_Wolfert.m;Уолферт;
cn_Wolfgang.m;Волфганг;
cn_Wolfhart.m;Уолфхарт;
cn_Wolfker.m;Уолфкер;
cn_Wortwin.m;Уортуин;
cn_Wratislaw.m;Уратислау;
cn_Wulfhilde.f;Уулфхилде;
cn_Wulgrin.m;Уулгрин;
cn_Wymar.m;Уимар;
cn_Wymund.m;Уимунд;
cn_Xelmiro.m;Кселмиро;
cn_Xene.f;Ксене;
cn_Ya_la.m;Иала;
cn_Yadgar.m;Иадгар;
cn_Yaghisiyan.m;Иагхисиян;
cn_Yaghmurasen.m;Иагхмурасен;
cn_Yahsi.m;Иахси;
cn_Yahya.m;Иахиа;
cn_Yajlaf.m;Иайлаф;
cn_Yakov.m;Иаков;
cn_Yakup.m;Иакуп;
cn_Yalbugha.m;Иалбугха;
cn_Yaman.m;Иаман;
cn_Yamin.m;Иамин;
cn_Yamut.m;Иамут;
cn_Yan.m;Иан;
cn_Yanko.m;Ианко;
cn_Yann.m;Ианн;
cn_Yannick.m;Ианникк;
cn_Yanuka.m;Ианука;
cn_Yaqub.m;Иаквб;
cn_Yaqut.m;Иаквт;
cn_Yarhisar.m;Иархисар;
cn_Yaropolk.m;Иарополк;
cn_Yaroslav.m;Ярослау;
cn_Yasal.m;Иасал;
cn_Yasin.m;Иасин;
cn_Yaskar.m;Иаскар;
cn_Yasmina.f;Иасмина;
cn_Yazid.m;Иазид;
cn_Yban.m;Ибан;
cn_Yeddas.m;Иеддас;
cn_Yedi.f;Иеди;
cn_Yeprem.m;Иепрем;
cn_Yerelinkon.m;Иерелинкон;
cn_Yeshichin.f;Иешичин;
cn_Yesuchin.f;Иесучин;
cn_Yesugei.m;Иесугеи;
cn_Yesugen.f;Иесуген;
cn_Yesun.f;Иесун;
cn_Yghomracen.m;Игхомракен;
cn_Yiggit.m;Ииггит;
cn_Yisui.f;Иисуи;
cn_Yngerame.m;Ингераме;
cn_Ynyr.m;Инир;
cn_Yolanda.f;Йоланда;
cn_Yolande.f;Иоланде;
cn_Youssef.m;Иоуссеф;
cn_Youssouf.m;Иоуссоуф;
cn_Yrmegard.f;Ирмегард;
cn_Ysabela.f;Исабела;
cn_Ysabell.f;Исабелл;
cn_Ysenda.f;Исенда;
cn_Yslani.f;Ислани;
cn_Ytel.m;Ител;
cn_Yujamir.m;Иуямир;
cn_Yul.f;Иул;
cn_Yunas.m;Иунас;
cn_Yunus.m;Иунус;
cn_Yuriy.m;Иурии;
cn_Yusekhei.m;Иусекхеи;
cn_Yusuf.m;Иусуф;
cn_Yvain.m;Иваин;
cn_Yvette.f;Иветте;
cn_Yvonne.f;Ивонне;
cn_Zabel.f;Забел;
cn_Zacharias.m;Зачариас;
cn_Zache.m;Заче;
cn_Zafir.m;Зафир;
cn_Zah.m;Зах;
cn_Zahir.m;Захир;
cn_Zahireddin.m;Захиреддин;
cn_Zahl.m;Захл;
cn_Zahra.f;Захра;
cn_Zain.m;Заин;
cn_Zakare.m;Закаре;
cn_Zakaria.m;Закариа;
cn_Zakariya.m;Закария;
cn_Zakariyya.m;Закариия;
cn_Zaland.m;Заланд;
cn_Zankan.m;Занкан;
cn_Zanobi.m;Заноби;
cn_Zaven.m;Завен;
cn_Zavis.m;Завис;
cn_Zawi.m;Зауи;
cn_Zayd.m;Заид;
cn_Zayn.m;Заин;
cn_Zaynab.f;Заинаб;
cn_Zayyan.m;Заиян;
cn_Zaza.m;Заза;
cn_Zbygniew.m;Збигниеу;
cn_Zbyslava.f;Збислава;
cn_Zementus.m;Зементус;
cn_Zhivin_boud.m;Зхивинбоуд;
cn_Zia.m;Зиа;
cn_Zinedine.m;Зинедине;
cn_Zinowy.m;Зиноуи;
cn_Ziri.m;Зири;
cn_Zivinbudas.m;Зивинбудас;
cn_Ziyad.m;Зияд;
cn_Zobeslaus.m;Зобеслаус;
cn_Zodi.m;Зоди;
cn_Zoe.f;Зоя;
cn_Zogd.m;Зогд;
cn_Zozimas.m;Зозимас;
cn_Zsofia.f;Зсофиа;
cn_Zuan.m;Зуан;
cn_Zubaidah.f;Зубаидах;
cn_Zuchi.m;Зучи;
cn_Zuhayr.m;Зухаир;
cn_Zujruf.f;Зуйруф;
cn_Zulaikha.f;Зулаикха;
cn_Zumurrud.f;Зумурруд;
cn_Zurab.m;Зураб;
cn_Zvantepolk.m;Звантеполк;
cn_Zvelgaitis.m;Звелгаитис;
cn_Zvelgutis.m;Звелгутис;
cn_Zvenislava.f;Звенислава;
cn_Zvonimir.m;Звонимир;
cn_Zweeger.m;Зуеегер;
cn_Zygimantas.m;Зигимантас;
cn_Zygmunt.m;Зигмунт;
